,AuthoDisplayName,CommentID,LikeCount,TotalReplyCount,canReplay,publishedAt,textDisplay,textOriginal,sexe,sentiments
28,Michael Mystro Pierce,Ugz2ul0U2eN31pJOR_V4AaABAg,0,0,True,2018-01-27T07:17:38.000Z,The wieght is also a con and the round bulb makes it more vulnerable to an accident as well. I Sold mines only because of the weight it was to much to carry around on a DSLR. After saying that it&#39;s stunning IQ wise. Thanks Devin great review.,The wieght is also a con and the round bulb makes it more vulnerable to an accident as well. I Sold mines only because of the weight it was to much to carry around on a DSLR. After saying that it's stunning IQ wise. Thanks Devin great review.,male,positive
29,LordArioh,UgzeR7FDfISGHpVi-Yt4AaABAg,0,0,True,2018-01-27T07:00:57.000Z,"That is a Canon most expensive L lenses, even Sony and Nikon owners like them. Just not easy to afford them.","That is a Canon most expensive L lenses, even Sony and Nikon owners like them. Just not easy to afford them.",male,negative
30,SL Hansa,UgzyiyXnVwSl3JtvJJl4AaABAg,0,0,True,2018-01-27T06:28:12.000Z,Excellent video,Excellent video,male,positive
31,CineShades,UgwLdXI_bGjTKSDAUWJ4AaABAg,0,0,True,2018-01-27T06:27:20.000Z,What camera do you recommend to independent youtubers? Like the Dslr or Mirrorless camera range...,What camera do you recommend to independent youtubers? Like the Dslr or Mirrorless camera range...,neutral,neutral
32,ARPIT PURTI,UgxHG1OdLHNVFp_y9k94AaABAg,1,0,True,2018-01-27T06:13:16.000Z,how to control and use glidecam ? please...,how to control and use glidecam ? please...,male,neutral
33,andrew mullins,UgwqErG6Y6ZAmlrGRnx4AaABAg,0,0,True,2018-01-27T06:08:34.000Z,I kinda don&#39;t want to know but... have you ever fallen while running with the red on the glidecam? hope not!,I kinda don't want to know but... have you ever fallen while running with the red on the glidecam? hope not!,male,neutral
34,Kiril Dobrev,UgwfAqYWEkjZ4W_Y2QN4AaABAg,1,0,True,2018-01-27T05:32:43.000Z,"Shooting using movement, what techniques you use and why 🙏","Shooting using movement, what techniques you use and why 🙏",male,neutral
35,Richie Kirk,UgySBaPBTbDP-RccaAR4AaABAg,0,0,True,2018-01-27T04:57:23.000Z,16-35 iii is mine,16-35 iii is mine,male,neutral
36,Redrum Creations,Ugz_xIyAp0h7j9VQWid4AaABAg,1,0,True,2018-01-27T04:51:52.000Z,"Isn&#39;t it strange that this lens and the fisheye have threading for filters, yet no one will try to manufacture them? It is possible. I mean, look at the tech in the world today. You can&#39;t tell me we aren&#39;t capable of manufacturing a workable filter for these lenses. They may cause issues at the widest edges, but I think it would be great. My fisheye is torn up, but thankfully the glass is still pretty nice. Just a scratch or two. Still, I always wished it had a UV option at the least, since they don&#39;t manufacture it anymore.","Isn't it strange that this lens and the fisheye have threading for filters, yet no one will try to manufacture them? It is possible. I mean, look at the tech in the world today. You can't tell me we aren't capable of manufacturing a workable filter for these lenses. They may cause issues at the widest edges, but I think it would be great. My fisheye is torn up, but thankfully the glass is still pretty nice. Just a scratch or two. Still, I always wished it had a UV option at the least, since they don't manufacture it anymore.",male,positive
37,Martinius Espeland,Ugy1BNvEJHl9DShDgRx4AaABAg,0,0,True,2018-01-27T04:17:33.000Z,Workflow/codecs and lighting!!,Workflow/codecs and lighting!!,male,neutral
38,Ronnie Shannon,Ugx8SaAQdPrPSwZjRId4AaABAg,0,0,True,2018-01-27T03:44:45.000Z,Where do you guys get your music at?,Where do you guys get your music at?,male,neutral
39,Peff,UgxYmH3_2GEeKRaOH1R4AaABAg,2,0,True,2018-01-27T03:16:55.000Z,Can you please do a glidecam tutorial? Thanks Devin!,Can you please do a glidecam tutorial? Thanks Devin!,male,positive
40,Anupam Creations,Ugxn8JjLI1kfHrn4oEp4AaABAg,0,0,True,2018-01-27T02:38:08.000Z,I really like it,I really like it,male,positive
41,Damon Abets,UgxvSQJM2rKkKGOoae54AaABAg,1,0,True,2018-01-27T02:25:12.000Z,What lights do you use,What lights do you use,male,neutral
42,SuicideNeil,Ugy0SH6HbmEBJLa4qch4AaABAg,0,0,True,2018-01-27T02:14:51.000Z,"Hmm, funny thing- if you&#39;re shooting a shallow depth of field at subjects fairly close ( like the dude on the bmx ), then you aren&#39;t gonna notice if the corners are a bit soft, they&#39;re soft anyway with those settings...","Hmm, funny thing- if you're shooting a shallow depth of field at subjects fairly close ( like the dude on the bmx ), then you aren't gonna notice if the corners are a bit soft, they're soft anyway with those settings...",female,positive
43,Caleb S.,UgystdMUFcKRm4cAGbl4AaABAg,0,0,True,2018-01-27T02:12:38.000Z,"Hey Devin, can you explain and give examples of different frame rates and what they are used for?","Hey Devin, can you explain and give examples of different frame rates and what they are used for?",male,neutral
44,SuicideNeil,Ugxg0MyMATCxUQyKhvZ4AaABAg,1,0,True,2018-01-27T02:11:47.000Z,"10-22mm cheap-skate master-race, where you at?","10-22mm cheap-skate master-race, where you at?",female,neutral
45,Dustin Samplawski.,UgxxQHgAFdMSQhFDk_94AaABAg,0,0,True,2018-01-27T01:54:28.000Z,Are you hiring?,Are you hiring?,male,neutral
46,TheDAVE,UgwkZEVy1jtu9GkBKbJ4AaABAg,1,1,True,2018-01-27T01:41:41.000Z,"got any suggestions for very cheap budget lens? like very cheap, Im a student so cant afford a lot lol","got any suggestions for very cheap budget lens? like very cheap, Im a student so cant afford a lot lol",male,positive
47,Franco Sainz,UgzDGSJUb7VwU4IjyNZ4AaABAg,0,0,True,2018-01-27T01:32:59.000Z,Cool! Can you share your 8k workflow?,Cool! Can you share your 8k workflow?,male,positive
48,Adventure Twins,Ugwu6l85eOlnVxmOdul4AaABAg,0,10,True,2018-01-27T01:29:25.000Z,What focal length do you typically use on a glidecam? Looking to buy a new lens,What focal length do you typically use on a glidecam? Looking to buy a new lens,male,negative
49,Johan Fehr,UgyK39wiEnuYlDFpidl4AaABAg,0,0,True,2018-01-27T01:28:41.000Z,Devin appreciate all the amazing vids! Could you do a video on camera movement and how to get the best footage for a beginner filmmaker? Thanks,Devin appreciate all the amazing vids! Could you do a video on camera movement and how to get the best footage for a beginner filmmaker? Thanks,male,positive
50,Filip Steussloff,UgxTBgUbM-LbxYoR6eN4AaABAg,0,0,True,2018-01-27T01:24:45.000Z,Do you prefer polarizer or ND filter?,Do you prefer polarizer or ND filter?,male,neutral
51,HD EDITS,Ugyl-_XPCNZ7pSQkJOF4AaABAg,0,0,True,2018-01-27T01:22:03.000Z,What are you thoughts on Sony cameras? Especially the mirrorless 4k ones,What are you thoughts on Sony cameras? Especially the mirrorless 4k ones,male,neutral
52,happiness NN_Niro,Ugz4ecmVRYYnxZs3a-54AaABAg,0,0,True,2018-01-27T01:18:01.000Z,Wow omg👍,Wow omg👍,neutral,positive
53,Judah Periyasamy,Ugw8LYEJEpH-b6Nbumx4AaABAg,0,0,True,2018-01-27T01:07:09.000Z,Can you make videos were teach how to take beautiful shots?,Can you make videos were teach how to take beautiful shots?,male,positive
