,AuthoDisplayName,CommentID,LikeCount,TotalReplyCount,canReplay,publishedAt,textDisplay,textOriginal,sexe,sentiments
95,heimbaloo,Ugwvg_AxX62QTScpuIx4AaABAg,0,0,True,2018-01-26T22:28:32.000Z,"Davin, you should make a movie about lenses - what lenses should someone buy for vlogging, for cinematic shots, for travel videos etc. I think many people would be interested in that. Keep up the great work. huge fan! thanks!","Davin, you should make a movie about lenses - what lenses should someone buy for vlogging, for cinematic shots, for travel videos etc. I think many people would be interested in that. Keep up the great work. huge fan! thanks!",male,positive
96,Markus Müller,UgyJY2gHg5sAU8M8GJF4AaABAg,1,3,True,2018-01-26T22:26:46.000Z,Peter McKinnon hates this lens(?),Peter McKinnon hates this lens(?),male,neutral
97,Ruben Waldhüter,UgxZXq9tGu_z2jwitjV4AaABAg,2,3,True,2018-01-26T22:19:58.000Z,Can you do a video about your picture profiles on your red and drones?,Can you do a video about your picture profiles on your red and drones?,male,neutral
98,Trey Ketzner,UgzEINjiX_f1EXHbqSJ4AaABAg,1,1,True,2018-01-26T22:19:56.000Z,"Hey devin, I had a quick question,<br />I just got a GoPro hero 5, and I was wondering if you think that would be a good main camera? I don’t have much money, but I wanted your opinion. Thanks!","Hey devin, I had a quick question,
I just got a GoPro hero 5, and I was wondering if you think that would be a good main camera? I don’t have much money, but I wanted your opinion. Thanks!",male,positive
99,Erik Lysak,Ugx9v5w3mh0vAtcZT8h4AaABAg,3,1,True,2018-01-26T22:19:42.000Z,What about the 10-18mm EF-S is that the alternative that should be used on APS-C,What about the 10-18mm EF-S is that the alternative that should be used on APS-C,male,neutral
100,Awesome Power,Ugw-8ntQSZ8F5ZZwonx4AaABAg,0,0,True,2018-01-26T22:19:23.000Z,Hi,Hi,neutral,neutral
101,ishkhan06,UgzcWuEWuspb8bojYot4AaABAg,0,0,True,2018-01-26T22:19:12.000Z,Third -lol,Third -lol,male,positive
102,picklepotato,Ugxbhct5IeXUedtE-kN4AaABAg,1,0,True,2018-01-26T22:19:02.000Z,1 view and 1 like!!! Im so early!!!!!,1 view and 1 like!!! Im so early!!!!!,female,positive
103,Leonam Das 2.0,UgwcayDu2Nj-H2OHEmx4AaABAg,0,0,True,2018-01-26T22:19:00.000Z,First,First,male,positive
104,Erik Lysak,UgzPwKaZrXC2uxlE7J94AaABAg,1,0,True,2018-01-26T22:18:47.000Z,First,First,male,positive
105,Tech 101,Ugz4XD9-CJ3Wr10SyYd4AaABAg,0,0,True,2018-01-26T22:18:41.000Z,First devin,First devin,male,positive
